Date,Genesis,Matthew,Psalms,Proverbs
20,1Rs 22:1-53,At 13:16-41,Sl 138:1-8,Pv 17:17-18
21,2Rs 1:1-2:25,At 13:42-14:7,Sl 139:1-24,Pv 17:19-21
22,2Rs 3:1-4:17,At 14:8-28,Sl 140:1-13,Pv 17:22
23,2Rs 4:18-5:27,At 15:1-35,Sl 141:1-10,Pv 17:23
24,2Rs 6:1-7:20,At 15:36-16:15,Sl 142:1-7,Pv 17:24-25
25,2Rs 8:1-9:13,At 16:16-40,Sl 143:1-12,Pv 17:26
26,2Rs 9:14-10:31,At 17:1-34,Sl 144:1-15,Pv 17:27-28
27,2Rs 10:32-12:21,At 18:1-22,Sl 145:1-21,Pv 18:1
28,2Rs 13:1-14:29,At 18:23-19:12,Sl 146:1-10,Pv 18:2-3
29,2Rs 15:1-16:20,At 19:13-41,Sl 147:1-20,Pv 18:4-5
30,2Rs 17:1-18:12,At 20:1-38,Sl 148:1-14,Pv 18:6-7
1,2Rs 18:13-19:37,At 21:1-17,Sl 149:1-9,Pv 18:8
2,2Rs 20:1-22:2,At 21:18-36,Sl 150:1-6,Pv 18:9-10
3,2Rs 22:3-23:30,At 21:37-22:16,Sl 1:1-6,Pv 18:11-12
4,2Rs 23:31-25:30,At 22:17-23:10,Sl 2:1-12,Pv 18:13
5,1Cr 1:1-2:17,At 23:11-35,Sl 3:1-8,Pv 18:14-15
6,1Cr 2:18-4:4,At 24:1-27,Sl 4:1-8,Pv 18:16-18
7,1Cr 4:5-5:17,At 25:1-27,Sl 5:1-12,Pv 18:19
8,1Cr 5:18-6:81,At 26:1-32,Sl 6:1-10,Pv 18:20-21
9,1Cr 7:1-8:40,At 27:1-20,Sl 7:1-17,Pv 18:22
10,1Cr 9:1-10:14,At 27:21-44,Sl 8:1-9,Pv 18:23-24
11,1Cr 11:1-12:18,At 28:1-31,Sl 9:1-12,Pv 19:1-3
12,1Cr 12:19-14:17,Rm 1:1-17,Sl 9:13-20,Pv 19:4-5
13,1Cr 15:1-16:36,Rm 1:18-32,Sl 10:1-15,Pv 19:6-7
14,1Cr 16:37-18:17,Rm 2:1-24,Sl 10:16-18,Pv 19:8-9
15,1Cr 19:1-21:30,Rm 2:25-3:8,Sl 11:1-7,Pv 19:10-12
16,1Cr 22:1-23:32,Rm 3:9-31,Sl 12:1-8,Pv 19:13-14
17,1Cr 24:1-26:11,Rm 4:1-12,Sl 13:1-6,Pv 19:15-16
18,1Cr 26:12-27:34,Rm 4:13-5:5,Sl 14:1-7,Pv 19:17
19,1Cr 28:1-29:30,Rm 5:6-21,Sl 15:1-5,Pv 19:18-19
20,2Cr 1:1-3:17,Rm 6:1-23,Sl 16:1-11,Pv 19:20-21
21,2Cr 4:1-6:11,Rm 7:1-13,Sl 17:1-15,Pv 19:22-23
22,2Cr 6:12-8:10,Rm 7:14-8:8,Sl 18:1-15,Pv 19:24-25
23,2Cr 8:11-10:19,Rm 8:9-25,Sl 18:16-36,Pv 19:26
24,2Cr 11:1-13:22,Rm 8:26-39,Sl 18:37-50,Pv 19:27-29
25,2Cr 14:1-16:14,Rm 9:1-24,Sl 19:1-14,Pv 20:1
26,2Cr 17:1-18:34,Rm 9:25-10:13,Sl 20:1-9,Pv 20:2-3
27,2Cr 19:1-20:37,Rm 10:14-11:12,Sl 21:1-13,Pv 20:4-6
28,2Cr 21:1-23:21,Rm 11:13-36,Sl 22:1-18,Pv 20:7
29,2Cr 24:1-25:28,Rm 12:1-21,Sl 22:19-31,Pv 20:8-10
30,2Cr 26:1-28:27,Rm 13:1-14,Sl 23:1-6,Pv 20:11
31,2Cr 29:1-36,Rm 14:1-23,Sl 24:1-10,Pv 20:12
